name,title,short_description,place,date,category,url,source,country,city,image_url
21-я Центрально-Азиатская Международная Выставка  Индустрии HoReCa и Ритейла,Horex Qazaqstan 2026,21-я Центрально-Азиатская Международная Выставка Индустрии HoReCa и Ритейла,"Атакент, КЦДС",11.11.2026,$undefined,https://horexexpo.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/4a2cc851bf4e.jpg
20-я Центрально-Азиатская Международная Выставка Сельского Хозяйства,Agroworld Qazaqstan 2026,20-я Центрально-Азиатская Международная Выставка Сельского Хозяйства,"Атакент, КЦДС",28.10.2026,$undefined,https://agroworld.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/cf5b93660fee.jpg
"24-я Казахстанская Международная Выставка Энергетики, Электротехники и Энергетического Машиностроения",Powerexpo Almaty 2026,"24-я Казахстанская Международная Выставка Энергетики, Электротехники и Энергетического Машиностроения","Атакент, КЦДС",21.10.2026,Энергетическое и электрическое оборудование,https://powerexpo.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/e6027e746d30.jpg
"14-я Казахстанская Международная Выставка Безопасности, Противопожарной Защиты, Информационных Технологий, Связи и Дронов",Securex Kazakhstan 2026,"14-я Казахстанская Международная Выставка Безопасности, Противопожарной Защиты, Информационных Технологий, Связи и Дронов","Атакент, КЦДС",21.10.2026,$undefined,https://securex.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/6e71a5893368.jpg
"1-я Казахстанско-Китайская Международная Выставка Строительства, Горнодобывающей Промышленности и Инфраструктуры",SilkWay Industrial Expo 2026,"1-я Казахстанско-Китайская Международная Выставка Строительства, Горнодобывающей Промышленности и Инфраструктуры","EXPO, МВЦ",14.10.2026,Горнодобывающая промышленность,https://silkway-industrial.kz/ru/,iteca.events,Казахстан,Астана,parsed_images/9d6f63ca8883.jpg
30-я Казахстанская Международная Конференция и Выставка Нефти и Газа,Kioge 2026,30-я Казахстанская Международная Конференция и Выставка Нефти и Газа,"Атакент, КЦДС",30.09.2026,Нефть и газ,https://kioge.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/80c33db3ae43.jpg
31-я Центрально-Азиатская Международная Выставка Горного Оборудования и Горнодобывающих Технологий,Mining & Metals Central Asia 2026,31-я Центрально-Азиатская Международная Выставка Горного Оборудования и Горнодобывающих Технологий,"Атакент, КЦДС",16.09.2026,Горнодобывающая промышленность,https://mining-metals.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/18bf81894b4d.jpg
22-я Казахстанская Международная Выставка Дорожной и Тяжёлой Строительной Техники,Kazcomak 2026,22-я Казахстанская Международная Выставка Дорожной и Тяжёлой Строительной Техники,"Атакент, КЦДС",16.09.2026,Горнодобывающая промышленность,https://www.kazcomak.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/ad9f7c69ebc3.jpg
"18-я Международная Выставка Систем Отопления, Водоснабжения, Сантехники, Кондиционирования и Вентиляции",Aquatherm Almaty 2026,"18-я Международная Выставка Систем Отопления, Водоснабжения, Сантехники, Кондиционирования и Вентиляции","Атакент, КЦДС",02.09.2026,Строительство и инженерное оборудование,https://aquatherm-almaty.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/56540635949e.jpg
16-ый Казахстанский Международный Конгресс Горнодобывающей и Металлургической Промышленности,Astana Mining and Metallurgy Expo 2026,16-ый Казахстанский Международный Конгресс Горнодобывающей и Металлургической Промышленности,"Hilton Astana, Congress Center",11.06.2026,Горнодобывающая промышленность,https://amm.kz/ru/,iteca.events,Казахстан,Астана,parsed_images/218496f5bcee.jpg
"1-я Казахстанская Международная Выставка Оптики, Оптометрии и Офтальмологии",VisionCare 2026,"1-я Казахстанская Международная Выставка Оптики, Оптометрии и Офтальмологии","Атакент, КЦДС",20.05.2026,Здравоохранение и фармацевтика ,https://visioncare.kz,iteca.events,Казахстан,Алматы,parsed_images/d4180905b23f.jpg
3-я Казахстанская Международная Выставка Фармацевтической Отрасли,PharmaTECH Kazakhstan 2026,3-я Казахстанская Международная Выставка Фармацевтической Отрасли,"Атакент, КЦДС",20.05.2026,Здравоохранение и фармацевтика ,https://pharmatechexpo.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/aae04cc283aa.jpg
31-я Казахстанская Международная Выставка Здравоохранения,KIHE 2026,31-я Казахстанская Международная Выставка Здравоохранения,"Атакент, КЦДС",20.05.2026,Здравоохранение и фармацевтика ,https://kihe.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/de40bc7a766d.jpg
5-я Казахстанская Международная Выставка Неразрушающего Контроля и Технической Диагностики,NDT Qazaqstan 2026,5-я Казахстанская Международная Выставка Неразрушающего Контроля и Технической Диагностики,"EXPO, МВЦ",28.04.2026,$undefined,https://ndtexpo.kz,iteca.events,Казахстан,Астана,parsed_images/5c66ef36fbd3.jpg
14-я Казахстанская Международная Конференция и Выставка по Охране Труда и Промышленной Безопасности,KIOSH 2026,14-я Казахстанская Международная Конференция и Выставка по Охране Труда и Промышленной Безопасности,"EXPO, МВЦ",28.04.2026,$undefined,https://kiosh.kz/ru/,iteca.events,Казахстан,Астана,parsed_images/8b3a19caa2a3.jpg
1-я Казахстанская Международная Выставка Оборудования Текстильной и Швейной Промышленности,KITME 2026,1-я Казахстанская Международная Выставка Оборудования Текстильной и Швейной Промышленности,"Атакент, КЦДС",22.04.2026,Текстильная промышленность,https://kitme.kz,iteca.events,Казахстан,Алматы,parsed_images/6b6a070dc63c.jpg
24-ая Казахстанская Международная Выставка Туризма и Путешествий,KITF 2026,24-ая Казахстанская Международная Выставка Туризма и Путешествий,"Атакент, КЦДС",22.04.2026,Туризм и путешествия,https://kitf.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/75390f049790.jpg
23-я Северо-Каспийская Региональная Строительная и Интерьерная Выставка,AtyrauBuild 2026,23-я Северо-Каспийская Региональная Строительная и Интерьерная Выставка,"Корме, ВЦ",08.04.2026,Строительство и инженерное оборудование,https://atyraubuild.kz/ru/,iteca.events,Казахстан,Атырау,parsed_images/585f93d34d6f.jpg
23-я Северо-Каспийская Региональная Выставка Нефти и Газа,Atyrau Oil&Gas 2026,23-я Северо-Каспийская Региональная Выставка Нефти и Газа,"Корме, ВЦ",08.04.2026,Нефть и газ,https://oil-gas.kz/ru/,iteca.events,Казахстан,Атырау,parsed_images/01cdf3c62532.jpg
